Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Comparison|||You have time to put precautionary mechanisms in place|||A situation like San Francisco is so frightening because there's no warning
Comparison|||the company's sale of rights to land and buildings at its Hawthorne, Calif., headquarters resulted in a $13 million charge to third-quarter operating profit|||The charge didn't affect net for the quarter as it was offset by tax benefits
Comparison|||as I was walking back to get in my car, I heard many, many people . . . opening champagne bottles and celebrating individual victories that some of us had accomplished in getting our little deal in the tax bill and winking at this person for slipping this in|||As I was driving home, I did not feel very good about myself
Comparison|||The proposal would restore some discipline erased from the budget process by the 1974 Budget "Reform" Act|||Before 1974, a President could "impound," or refuse to spend, funds appropriated by Congress
Comparison|||Before 1974, a President could "impound," or refuse to spend, funds appropriated by Congress|||Presidents Kennedy and Johnson were both big users of the impoundment power, but Congress saw its chance against a weakened President Nixon and stripped it away
Comparison|||Today a President can still send up spending rescissions, but they're meaningless unless Congress has a guilty conscience and changes its mind|||This is like asking foxes to feel remorse about chickens
Comparison|||In 1987, President Reagan sent 73 rescissions back to the Hill, but only 3% of the spending total was approved by Congress|||Senator Coats's proposal would let the proposed spending cuts take place automatically unless Congress acts
Comparison|||I don't know if this will affect one institution or a hundred|||It does establish a very clear precedent for suing the FHLBB where there was none before
Comparison|||Ms. Levine had never been fired|||The Odeon made a written offer to Marcia Levine on July 10 to return to work as the maitre'd, at the same pay, same hours and with back pay accrued
Comparison|||they can't afford to put their law practices on hold for another seven-month trial|||they would continue to represent their clients if the government pays their tab as court-appointed lawyers
Comparison|||One hostile bidder who deliberately avoided using junk bonds was Paramount Communications Inc. in its initial offer to acquire Time Inc. for $10.7 billion, or $175 a share|||that decision was based on the financial, not political, drawbacks of junk bonds
Comparison|||The Nasdaq composite leaped 7.52 points, or 1.6%, to 470.80|||Its largest previous rise this year came Aug. 7, when it gained 4.31
Comparison|||After the earnings were announced, he raised his fiscal 1990 estimate to between $3.80 and $4 a share|||Microsoft earned $3.03 a share in fiscal 1989
Comparison|||The operator of fast-food restaurants climbed 3 1/8 to 23 on 944,000 shares|||Its 1.7 million-share offering was priced at 15
Comparison|||Valley National's slide of 5 3/4 points to 18 1/2 on 4.2 million shares followed its report late Wednesday of a $72.2 million third-quarter loss|||In the 1988 quarter, the Phoenix, Ariz., commercial banking concern earned $18.7 million
Comparison|||Politics has essentially put up a roadblock" to finding sites for new federal prisons|||Without more space to incarcerate convicted criminals we will not win the war on drugs
Comparison|||He is a lawyer with a string of academic degrees|||Mr. Peters is a high-school dropout who came to fame as Barbra Streisand's hairdresser
Comparison|||With MGM/UA's "Rainman," for instance, Messrs.|||Sometimes, as with "Batman," the pair really do make the film
Comparison|||and his detractors like to characterize him as something of a hot-tempered bully|||He gets better reviews as a creative whiz, an enthusiast, an idea man
Comparison|||Peter is the bright, sympathetic guy when you're doing a deal|||If there's a problem, Peter disappears, and all of a sudden Jon shows up
Comparison|||We are the producers of that movie|||They got a small piece of the net profits and a screen credit" as executive producers
Comparison|||In 1980, Mr. Guber got together with Mr. Peters|||While Guber Peters produced a number of hits for Warner and others, their record wasn't always so impressive
Comparison|||On a number of occasions he tried to get Warner to buy Guber Peters outright|||They always listened, but they never acted
Comparison|||But in affidavits filed yesterday in the Los Angeles court, Mr. Ross, Warner Bros.|||Warner, in its court filings, calls it "a piece of fiction created for this litigation
Comparison|||that it is in its own interests to let Mr. Guber and Mr. Peters go off to Columbia|||At the very least an opportunity to use the two men to get a pound of flesh from Sony
Comparison|||The last time Columbia Pictures was looking for a studio chief, they note, Warner released producer David Puttnam from his contract, then took him back after he was subsequently fired by his bosses at Columbia|||In his affidavit filed yesterday, Warner's Mr. Ross indicated he isn't buying any such argument
Comparison|||The only significant commercial banana farmers in the U.S. are in Hawaii|||The Hawaii Banana Industry Association has no lobbyist
Comparison|||and the bank will be on track to report a pretax profit of between M$160 million and M$170 million for the fiscal year ending March 31|||For the previous financial year, the bank would have reported a pretax profit of M$168 million if it hadn't made provisions for the nonperforming loans
Comparison|||I've seen a lot of people fooling around on the fringes of filtering information|||This is the first time I've seen something I could imagine a lot of people using
Comparison|||With E-mail, you don't have the visual clues of paper|||With Notes, they're visually distinct
Comparison|||that industrial output in September totaled $29.4 billion, a rise of just 0.9% from a year earlier|||Output declined in several provinces, including Jiangsu and Zhejiang, two key coastal areas, and Sichuan, the nation's agricultural breadbasket
Comparison|||The largest sale in the competitive arena was a $55.7 million issue of school financing bonds from the Virginia Public School Authority|||A balance of $25.8 million remained in late order-taking, according to the lead manager
Comparison|||Union Pacific Corp. third-quarter net income fell 17%|||Excluding earnings from discontinued operations a year earlier, net fell only 2%
Comparison|||The energy, natural resources and railroad concern had net of $137.4 million, or $1.35 a share, down from $165 million, or $1.44 a share, a year earlier|||In the 1988 third quarter, profit from continuing operations totaled $140.1 million
Comparison|||that healthy stores hawking mostly apparel could ring up gains of as much as 25% to 30%|||Troubled chains could see their sales drop as much as 8% as managers distracted by fears about the future allow their stores to get sloppy
Comparison|||Traditionally, consumers were concerned about ordering after the first of December because they didn't believe they would get it by Christmas|||Using Federal Express delivery last year December was our biggest month
Comparison|||sales at department stores open at least a year to rise a modest 3% to 5% over last year's totals, both for his company and the industry in general|||I'm not looking for a runaway Christmas at all
Comparison|||What you'll hear as we get into December is that sales are sluggish|||The week ending the 24th is going to save the entire month for everyone
Comparison|||The properties held by FADA won't be sold piecemeal|||You need to buy the entire lot
Comparison|||To make the venture work, they would need Fox affiliates|||We spent a lot of time and money in building our group of stations
Comparison|||The executive said Paramount and MCA have also held discussions with Chris-Craft Industries' broadcasting unit|||A Chris-Craft station manager said there have been no formal talks
Comparison|||The real question is whether the Paramount-MCA offering is practical|||It isn't. . . . Why would I consider giving up Fox, a proven commodity," for an unknown venture
Comparison|||They always seem to come a bit later than you expect|||When they do hit, they hit fast
Comparison|||But short-term bonds can't rise too much|||Long-term bonds swing more widely in price
Comparison|||Greg Confair, president of Sigma Financial Inc. in Allentown, Pa., also recommends that investors go heavily for cash|||He isn't sure a recession is coming
Comparison|||A soft landing isn't something that can be achieved once and for all|||It has to be engineered over and over again, month after month
Comparison|||that some economists have been predicting a recession for at least two years|||Investors who listened, and lightened up on stocks, "have just hurt themselves
Comparison|||Low P-E" stocks vastly outperform others "during a recession or bear market|||In good times they lag a bit
Comparison|||For example stocks of small companies are selling for about 19 times cash flow. (Cash flow, basically earnings plus depreciation, is one common gauge of a company's financial health|||That ratio is dangerously close to the ratio of 19.7 that prevailed before the 1987 stock-market crash
Comparison|||Indexing has been the most single successful investment concept in the last decade, but the index money has been just sort of sitting there|||Now the interest is in what else can I do with that money
Comparison|||One simple approach is to exclude S&P 500 companies considered bankruptcy candidates|||this can avoid weak sisters, but also can hurt when a company like Chrysler Corp. rebounds
Comparison|||Ever since the hotly contested America's Cup race last year, the famous yachting match has run into more rough sailing out of the water than in it|||Now that a key member of the San Diego Yacht Club team is splitting off to form his own team, even more competition lies ahead
Comparison|||The author of the futuristic novel "1984" invented a language called Newspeak that made it impossible to fully develop a heretical thought -- that is, anything negative about the policies and practices of the state|||Wall Street hasn't gotten that far yet, but it has made a promising start
Comparison|||For example, we'll bet you thought that the stock market crashed two years ago|||Wrong
Comparison|||According to some of the grand panjandrums of the market, it never happened|||In their lexicon the 508-point collapse in the Dow Jones Industrial Average on Oct. 19, 1987, was just a big blip
Comparison|||On Oct. 29, 1929 -- a date historians stubbornly insist on associating with the dreaded C-word -- the DJ industrials fell 12.8%|||In the "technical correction" of two years ago, they lost a whopping 22.6%
Comparison|||Of the major New York-based securities firms, only Morgan Stanley & Co. still calls its salespeople brokers|||At Merrill Lynch & Co. and Shearson Lehman Hutton Inc., they are "financial consultants
Comparison|||Such titles are designed to convey a sense of dignified, broad-scale competence and expertise in selling today's myriad financial products|||It is a competence and expertise that some brokers themselves, overwhelmed by all the new things being dreamed up for them to peddle, don't feel
Comparison|||In such cases, the game hasn't changed, only the name|||In others a familiar old name still prevails, but the underlying game has changed
Comparison|||Before the takeover mania of the '80s, it referred to rooting out through analysis undervalued stocks, especially those with shrewd management, sound fundamentals and decent prospects|||Now value investing often means "looking for downtrodden companies with terrible management that are in real trouble
Comparison|||Having a proposal sponsored by Democrats would have given the president an advantage|||Having only a Republican measure makes the task harder
Comparison|||That vote made it unlikely that a capital-gains tax cut would be included in the final bill, now being drafted by House and Senate negotiators|||The House version of the bill does include the tax cut
Comparison|||and at least some of the dissident Democrats plan to support it|||I may want to offer additional amendments to improve it when the bill comes to the floor
Comparison|||The company earned $66 million, or $1.19 a share, on revenue of $2.1 billion in the year-ago fourth quarter|||For fiscal 1988, Ashland had net of $224 million, or $4.01 a share, on revenue of $7.8 billion
Comparison|||The theory is that the stadium, damaged by Tuesday's earthquake, will be repaired by then, and that people will be able to get there|||Like just about everything else, that remains to be seen
Comparison|||I'd slept through my only previous brush with natural disaster, a tornado 15 or so summers ago near Traverse City, Mich., so I was unprepared for one reaction to such things: the urge to talk about them|||Perhaps primed by the daily diet of radio and TV reporters thrusting microphones into people's faces and asking how they "feel" about one calamity or another, fellow reporters and civilians who spied my press credential were eager to chat
Comparison|||A women said she saw the park's light standards sway.|||I saw neither
Comparison|||At 5:40 p.m., scheduled game time having passed, some fans chanted "Let's Play Ball|||No longer innocent, they qualified as fools
Comparison|||At my hotel, the Westin, power was out, some interior plaster had broken loose and there had been water damage, but little else|||With Garpian randomness, a hotel across the street, the Amfac, had been hit harder
Comparison|||The quake and baseball weren't related, unlike the massacre of athletes that attended the 1972 Olympics|||That heavily politicized event learned nothing from the horrifying experience, and seems doomed to repeat it
Comparison|||FEMA is already strapped by the costs of cleaning up after Hurricane Hugo|||It is likely to get as much as $800 million initially in additional funds
Comparison|||Moreover, state officials are urging freight haulers to bypass many of the area's main highways and to travel late at night or during predawn hours|||Even so, "We're looking for chaos
Comparison|||The Westin St. Francis hotel currently is less than 50% occupied|||We still have our die-hard baseball fans
Comparison|||net income for the quarter was $5.9 million, or 71 cents a share, on revenue of $145.4 million|||For the year-earlier period, the company reported a loss of $520,000 or six cents a share
Comparison|||I don't want to give the impression that everybody can relax now|||We have to keep working at improving our core business to stay efficient
Comparison|||that 1989 would be "solidly profitable" for Westmoreland and that 1990 would bring "more of the same|||For all of 1988, the company reported an after-tax operating loss of $134,000 on revenue of $593.5 million
Comparison|||For all of 1988, the company reported an after-tax operating loss of $134,000 on revenue of $593.5 million|||An accounting adjustment made net income $1.5 million, or 18 cents a share
Comparison|||He also called on Nicaragua's neighbors to accept a "military equilibrium" guaranteed by both superpowers|||The Pentagon claims that in spite of Moscow's words, East bloc weapons continue to flow into Nicaragua through Cuba at near-record levels
Comparison|||and Institut Merieux S.A. of France has made a rival bid of C$942 million|||The University is seeking an injunction against the Merieux bid
Comparison|||Now that the Supreme Court opened the door on the subject of abortion, politicians are squinting under the glare of democratic choice|||Their discomfort is a healthy sign for the rest of us
Comparison|||even as pro-choice Republicans knew this mattered little on an issue monopolized by the court|||Now it matters
Comparison|||the White House never wavered over the veto|||Christopher Smith (R., N.J.), a pro-life leader in the House, suggested a compromise that would have adapted restrictive language from rape and incest exceptions in the states
Comparison|||where pro-life GOP candidates for governor are being pummeled on abortion|||the two GOP candidates could have avoided trouble if they had framed the issue first
Comparison|||After Mr. Sullivan waffled on abortion last year, the White House appeased right-to-lifers by surrounding him with pro-life deputies|||Their views on health care and welfare didn't much matter, though HHS spends billions a year on both
Comparison|||though HHS spends billions a year on both|||It makes only a handful of abortion-related decisions
Comparison|||Roe v.|||Now the ambivalent middle, a moral majority of sorts, is reasserting itself
Comparison|||that it may seek a controlling interest in Harley-Davidson, or seek representation on the company's board|||it doesn't intend to be acquired by the Glazer group or any other party
Comparison|||Throughout 1988 and this year, I and others in Congress have pressed the U.S. to develop a plan for pushing this "narcokleptocrat" out of Panama|||two administrations in a row have been unwilling and unable to develop any plan, military or economic, for supporting the Panamanian people in their attempts to restore democracy
Comparison|||Amoco is the first major oil company to report third-quarter results|||Analysts expect others to show a similar pattern
Comparison|||I was amused to read your recent news stories on the banking industry's reserve additions and concomitant threats to cease making new loans to less-developed countries|||If the whole story were told, it would read something like this
Comparison|||The Big Board reported that short interest dropped to 523,920,214 shares as of Oct. 13 from 547,347,585 shares in mid-September|||Amex short interest climbed 3% to 53,496,665 shares from 51,911,566 shares
Comparison|||Chemical Waste Management posted the biggest increase in short volume on the New York exchange, up 3,383,477 shares to 5,267,238|||Bristol-Myers Squibb Co., the entity formed from the recent acquisition of Squibb Corp. by Bristol-Myers Co., logged the largest volume decline, 7,592,988 shares, to 12,017,724
Comparison|||The company is under an investigation concerning procedures to gain Food and Drug Administration approval of generic drugs|||Bolar has denied any wrongdoing
Comparison|||First Iberian Fund led the percentage increases, rising to 73,100 shares from 184|||Nelson Holdings International Ltd. dropped the most on a percentage basis, to 1,000 shares from 255,923
Comparison|||and they saw magazines as soft|||Now they realize magazines are as much a franchise as Nabisco is a franchise
Comparison|||He throws something|||He doesn't just walk off the mound and weep
Comparison|||At one point, the reader is two steps ahead of Marlowe in catching on to a double identity scam -- and Marlowe is supposed to be the pro|||More bothersome, there are several apparent anachronisms
Comparison|||Many farmers used the jump in prices to sell their recently harvested crop to grain elevator companies|||The heavy selling by farmers helped to damp the price rally
Comparison|||For instance, December contracts for WTI rose 17 cents to $20.42|||Most energy futures opened lower
Comparison|||The company intends to pay dividends from available cash flow|||the amount may vary from quarter to quarter
Comparison|||The travel, investment services, insurance and banking concern added $110 million to reserves for credit losses at its American Express Bank unit, boosting the reserve to $507 million as of Sept. 30|||The bank's Third World debt portfolio totals $560 million, down from $2.2 billion at the end of 1986
Comparison|||At the American Express Travel Related Services Co. unit, net rose 17% to a record $240.8 million on a 19% revenue increase|||The figures exclude businesses now organized as American Express Information Services Co
Comparison|||In the first nine months, net rose 1.5%, to $458.8 million, or $4.76 a share, from $452 million, or $4.50 a share, a year earlier|||The year-earlier period included $40.1 million, or 41 cents a share, from discontinued operations
Comparison|||But yesterday, the company said this year's profit will be lower|||It didn't say by how much
Comparison|||In addition, an investor who wants to know the daily value of Treasury bonds, or corporate bonds traded on the New York Stock Exchange, can simply check newspaper listings|||There aren't any such listings for asset-backed securities
Comparison|||Investors, for instance, may mistakenly assume that the bank or company that originally held the assets is guaranteeing the securities|||It isn't
Comparison|||That means investors have to focus on the quality of the debt that lies beneath the securities, as well as on the credit enhancement for the issue and the credit ratings the issue has received|||That also isn't easy
Comparison|||The first 10 pages of the 76-page Weekly Portfolio Perspective are completely blank, except for the page numbers|||Rather than printing devils, Shearson puts all the blame on the unpredictable stock market
Comparison|||For example, 12% of this year's respondents said they expect a recession within 12 months|||Last year, only 8% were expecting a recession
Comparison|||An additional 56% of this year's respondents expect the economy to slow down during the next 12 months|||Only 42% of last year's respondents anticipated slowing growth
Comparison|||Nearly a third said they have made some portfolio changes to anticipate a possible recession|||For the most part, the changes were "slight
Comparison|||Some 71% had bought some stock in the past year|||only 57% had sold any
Comparison|||on sales of $247 million|||Sales for the just-ended period fell to about $225 million
Comparison|||millions of dollars in first-quarter revenue were lost|||The revenue will be regained in the current period
Comparison|||A few years ago, parents usually had to hire a sitter or take turns skiing while one spouse stayed with the children|||Most parents who had to go through that never came back
Comparison|||Apparently so|||There are no easy choices in Cambodia, but we can't imagine that it benefits the U.S. to become the catalyst for an all-too-familiar process that could end in another round of horror in Cambodia
Comparison|||The aim would be to end the guerrilla war for control of Cambodia by allowing the Khmer Rouge a small share of power|||that any Khmer Rouge participation would have to be "minimal
Comparison|||Recall that Nicaragua's Sandinistas came into Managua as partners in a coalition government with anti-Somoza moderates|||Within two years, the moderates were exiled or in prison
Comparison|||But now the possibility of "diplomatic movement" (Vietnam's withdrawal, the Baker initiative) has put that plan on hold, with the proviso that if the going got rough, the U.S. would then rearm the opposition|||Why the timidity
Comparison|||net also included certain reserves related to the restructuring of its LJN Toys' international operations|||These items were partly offset by an unspecified gain on the sale of its Miller International unit
Comparison|||The per-share loss was $5.32|||In the year earlier period, the New York parent of Republic National Bank had net income of $38.7 million, or $1.12 a share
Comparison|||the state procurement division had declared FileNet in default on its contract with the secretary of state uniform commercial code division|||the state has a valid basis of default
Comparison|||The move to halt imports kills the four-year-old Merkur brand in the U.S. market|||It will continue to be sold in the European market
Comparison|||which at least have clear brand images|||Merkur, as an import on domestic car lots, suffered from the same sort of image confusion that is hobbling sales of imports at General Motors Corp. and Chrysler Corp
Comparison|||Ford said then it would keep the Scorpio|||This year, Scorpio sales plummeted
Comparison|||President Carlos Salinas de Gortari used the army to oust La Quina|||Now, Mr. Guzman Cabrera is facing accusations that he's as much a company man as La Quina was a crook
Comparison|||Since world oil prices collapsed in 1982, the government has siphoned Pemex's coffers to make payments on Mexico's $97 billion foreign debt|||Little money has been returned to upgrade Pemex's aging facilities
Comparison|||The union also ceded the 2% commission it had received on all Pemex maintenance contracts|||The union will keep a 2% commission on construction projects
Comparison|||Also, because of its reduced capital budget, Pemex has phased out about 50,000 transitory construction workers, reducing the work force to about 140,000|||the union's sacrifices will be offset by a wage and benefit package that amounts to a 22% increase in compensation
Comparison|||The capriciousness would completely disrupt our operations|||This year, for the first time, Desc and other customers were consulted well in advance of the Pemex plant's shutdown to ensure minimal inconvenience
Comparison|||The 23-5 vote clears the way for consideration on the House floor next week or the week after|||Transportation Secretary Samuel Skinner, in a letter to the committee, warned that he would urge President Bush to veto the legislation if it passed Congress
Comparison|||On Monday, a letter from Mr. Skinner's deputy, Elaine Chao, said the administration opposed the legislation "in its present form|||Some of the bill's supporters had taken heart from the fact that the letter wasn't signed by Mr. Skinner and that it didn't contain a veto threat
Comparison|||that the housing industry is still suffering the effects of the Federal Reserve's battle against inflation|||The industry had shown signs of recovery this summer, after the central bank began to relax its clamp on credit, allowing interest rates to drop a bit after pushing them up for a year
Comparison|||Both China and Taiwan are seeking seats in GATT|||As one of China's provinces, Taiwan has no right to join GATT on its own
Comparison|||Our image is a company that makes women's products|||Now, we're going to sell to men
Comparison|||H&R Block is one of the great success stories of U.S. business|||Oddly enough, this presents a problem for the stock
Comparison|||Mr. Cremonie's firm once held about 4.8% of H&R Block|||That was before the 1986 tax "reform" made taxes more complex than ever
Comparison|||and four that call it a hold|||None dare say to sell it
Comparison|||your reporter served to only perpetuate an outdated and stereotypically provincial view of this otherwise thriving port city|||The damage will undoubtedly prove to be one of the epic human and economic disasters of the decade in this country
Comparison|||but the new company reported third-period earnings for both companies|||For the fourth quarter, Bristol-Myers Squibb will report one set of earnings
Comparison|||For the nine months, Golden Nugget reported a net loss of $11.4 million, or 69 cents a share, based on 16.6 million common and dilutive equivalents outstanding|||The year earlier, the company had a net loss of $4.3 million, or 20 cents a share, based on 21 million common shares and dilutive equivalents outstanding
Comparison|||The year earlier, the company had a net loss of $4.3 million, or 20 cents a share, based on 21 million common shares and dilutive equivalents outstanding|||The 1988 results include a $10.7 million charge stemming from a litigation judgment
Comparison|||Net income rose to a record $155.3 million, or 83 cents a share, from $134.8 million, or 72 cents a share|||Revenue fell to $1.04 billion from $1.07 billion
Comparison|||Their idea is to create a city, first, and then an entire nation -- without blacks|||This may seem to be a preposterous and utterly futile effort in Africa
Comparison|||Thus, farmer Johan Fischer crawls around under his planter, tightening bolts and fixing dents|||On almost every other farm in South Africa, black workers do the repairs
Comparison|||that he employs 16 blacks|||I couldn't afford to hire 16 whites
Comparison|||We'll leave them alone|||We just want to have our own cup of tea
Comparison|||New York State law prohibits insurance brokerages from deriving more than 10% of revenue from insuring affiliated companies|||Helmsley's insurance division had slightly exceeded that percentage but the division wasn't considered significant enough to the company to be restructured, particularly at a difficult time for the firm
Comparison|||Frank B. Hall Inc. of Briarcliff Manor, N.Y. is reportedly working out an agreement with Helmsley|||Officials there declined to comment, as did Helmsley management
Comparison|||three strong aftershocks, one measuring 5.0 on the Richter scale, jolted the region|||Serious injuries or damages weren't reported
Comparison|||but declined to specify a figure|||Asked whether a $230-a-share figure circulating in the market yesterday is too low, he said, "It's certainly not too low
Comparison|||If the {new} deal had us putting up less money but still having 15%, that would be a point in our favor|||In any new proposal, British Air would expect a greater rate of return than the 20%-plus in the original proposal
Comparison|||Consumer prices climbed a moderate 0.2% in September, mostly due to higher clothing costs|||Energy prices continued to fall at the retail level
Comparison|||The result: Chrysler dealers had a bloated 82-day supply of the Cherokee as of the end of last month and a 161-day supply of the Comanche pickup, which Toledo also builds|||A 60-day to 65-day supply is considered normal
Comparison|||That's usually how long it takes for the temblors to pass|||This time, it just got stronger and then the building started shaking violently up and down as though it were a child's toy block that was being tossed
Comparison|||Endless seconds wondering if those huge windows would buckle and shower us with glass|||Only a few books fell in the reading room
Comparison|||My younger daughter and I are fine|||This building shook like hell
Comparison|||and it kept getting stronger|||Except for the gas tank at Hustead's Towing Service exploding and burning in downtown Berkeley, things here are quite peaceful
Comparison|||things here are quite peaceful|||A lot of car alarms went off
Comparison|||but the next tremor threw me in the air and bounced me as I tried to get to my feet|||We are all fine here, although Mame was extremely freaked
Comparison|||This year's nine-month results include gains of $13 million, or five cents a share, from the sale of Schlumberger's defense systems business, and $22 million, or nine cents a share, from an award by the IranU.S.|||The year-earlier nine months include a gain of $35 million, or 13 cents a share, from sale of the company's Electricity Control & Transformers division
Comparison|||but anti-abortionists still may succeed in bringing the measure to the floor this fall|||she and her allies are "cautiously optimistic" they can defeat it if it comes to a floor vote
Comparison|||In London, the Financial Times-Stock Exchange 100-share index jumped 34.6 points to close at its intraday high of 2170.1|||The index was under pressure for most of the morning over concerns that the effects of Tuesday night's major earthquake in the San Francisco area would undermine the U.S. market
Comparison|||The index was under pressure for most of the morning over concerns that the effects of Tuesday night's major earthquake in the San Francisco area would undermine the U.S. market|||The mood changed after dealers reappraised the direct impact of the disaster on shares and Wall Street rebounded from early losses
Comparison|||although Prudential fell 2 to 184 1/2|||Pearl Group rose 5 to 628
Comparison|||Tokyo's Nikkei index of 225 issues rose 111.48 points, or 0.32%, to 35107.56|||The index gained 527.39 Tuesday
Comparison|||they didn't see any effect on Tokyo stocks from the California earthquake|||The impact on Japanese insurers and property owners with interests in the San Francisco area is still being assessed
Comparison|||Kirin Brewery was up 100 at 2,000, and Ajinomoto gained 70 to 2,840|||Pharmaceuticals were mostly higher, with SS Pharmaceutical gaining 140 to 1,980
Comparison|||Shares closed lower in other major Asian and Pacific markets, including Sydney, Hong Kong, Singapore, Taipei, Wellington, Seoul and Manila|||Most of those markets had rebounded the day before from Monday's slide
Comparison|||earnings are expected to be 25 cents to 35 cents a share, down from previous estimates of 50 cents to 60 cents|||Earnings for fiscal 1989 were $14.4 million, or 80 cents a share, on sales of $257.8 million
Comparison|||third-quarter earnings could be as low as four cents a share|||In the third quarter last year, Dell had net income of $5 million, or 26 cents a share, on sales of $75.2 million
Comparison|||Mr. Dell attributed the earnings slide to new product delays|||Some delays have been caused by a shortage of micoprocessors but others apparently have been caused by Dell's explosive growth and thinly stretched resources
Comparison|||As a general rule, prior-review programs have not made case-by-case assessments of the comparative costs of alternative treatments or sites of care|||that utilization management should have more of an impact as federal research on the effectiveness of medical treatments helps lead to medical practice guidelines
Comparison|||In the nine months, net fell 3% to $106 million, or 98 cents a share, from $110 million, or $1.05 a share|||Revenue advanced 26% to $9.6 billion from $7.6 billion
Comparison|||that although it has the cash to cover the 25-cent-a-share dividend, its banks have denied the company's request to pay it because the trust hasn't met certain terms|||it has "numerous financing activities" under way to remedy the problem and will make up the dividend payment later if possible
Comparison|||Each new employee is expected to submit four daily in the first few months on the job|||U.S. companies tend to favor suggestions "that go for the home runs
Comparison|||it will omit the next quarterly dividends on its Series A, B, C and D preferred shares|||it will pay all omitted dividends when debt-reduction requirements have been met
Comparison|||The first day's business was 911 contracts|||By the end of 1973, the number of "underlying" Big Board stocks had been increased to 50 and the options exchange had run up volume of 1.1 million contracts
Comparison|||By the end of 1973, the number of "underlying" Big Board stocks had been increased to 50 and the options exchange had run up volume of 1.1 million contracts|||A year later, it was 5.7 million
Comparison|||A year later, it was 5.7 million|||Last year, more than 1,800 traders on the CBOE bought and sold 112 million contracts on 178 listed stocks, 60% of all U.S. listed options trading
Comparison|||The bank holding company posted net income of $54.4 million, or 87 cents a share, including $1.7 million, or three cents a share, in one-time tax benefits|||A year earlier, net was $71.6 million, or $1.22 a share
Comparison|||The rise resulted from the transfer to non-accrual status of $96 million "owed by two national borrowers and one local commercial real-estate customer|||it doesn't anticipate any loss of principal on two of the loans
Comparison|||I bet it takes a real tough truck to haul your Ivy League buddies to the yacht club|||Because they want a truck that is "Texas tough Texans drive Chevy
Comparison|||Mr. Gintel, head of Gintel & Co., said he plans to conduct a proxy contest to elect a majority of Xtra's board at the next annual stockholders meeting|||Xtra, a transportation leasing company, said in a statement it would have no comment on Mr. Gintel's plans until "further information has been disclosed by him
Comparison|||Mr. Gintel owns 300,000 of the company's 6.3 million common shares outstanding|||it recently bought back approximately 55,000 of its shares pursuant to its existing authorization to acquire as many as 650,000 shares
Comparison|||My gut feeling is that the Marina properties will be affected," said Grace Perkins, senior vice president at Grubb & Ellis Residential Brokerage Inc|||Neither she nor other real-estate executives and brokers could project how much less Marina properties might bring
Comparison|||third-quarter sales increased 4% to $1.44 billion from $1.38 billion|||net income was flat because of investment in research and development and costs related to launches of several products
Comparison|||In the period, the company completed the sale of its European cosmetics businesses, sold a majority interest in its Brazilian affiliate, and announced the reorganization of its over-the-counter drug businesses into a new unit, Schering-Plough Health Care Products|||These actions didn't affect results because the gain on the sale of the European cosmetics businesses was offset by provisions relating to the Brazil divestiture and drug restructuring
Comparison|||Sell stocks that aren't doing well now, and that don't have good earnings prospects|||Most people do just the opposite
Comparison|||Say you purchased a stock because of a new product that was in the works|||Now, because of various difficulties, the product has been scrapped
Comparison|||The federal government initiative follows a recent Canadian Supreme Court decision that held that the major telephone companies in Alberta, Saskatchewan and Manitoba and in the Atlantic coast provinces were interprovincial undertakings and subject to federal legislative authority|||Prior to the ruling the federal government had regulated only the telephone companies in Quebec, Ontario, British Columbia and the Northwest Territories
Comparison|||that 75 million francs of the advance reflected a one-time gain from the June offering by its United Westburne unit in Canada|||if its year-earlier results were influenced significantly by nonrecurring elements
Comparison|||Eagle's plastic type sharpens and looks like a wooden pencil|||A major difference is that a snapped wooden pencil will have a slivered break while a plastic model will break cleanly
Comparison|||Mr. Semel and his firm, Semel & Co., have appealed the Comex decision and the sanctions to the Commodity Futures Trading Commission|||The commission denied Mr. Semel's request that the fine and suspension be delayed pending the appeal
Comparison|||that he has been considering and discussing a number of possible business ventures, but that "nothing is at a mature stage|||he "didn't argue with" the company's decision to seek his resignation because contemplating outside business ventures can distract an executive from performing his best "at the job he is paid to do
Comparison|||Mr. Quayle's staff had invited the mayor to two meetings of the vice president and groups of local officials and had offered to dispatch a helicopter to pick him up|||Mr. Agnos declined the invitations
Comparison|||The failed bank had assets of about $129.6 million|||The newly chartered bank will assume about $125.7 million in 10,300 deposit accounts and pay the FDIC a purchase premium of $2.9 million
Comparison|||London's Financial Times-Stock Exchange 100-share index finished 19.2 points higher at 2189.3|||The Financial Times 30-share index ended 13.6 higher at 1772.1
Comparison|||General Universal Stores gained 20 to #10.44|||Storehouse gained 2 to
Comparison|||Royal Insurance was the sector's hottest issue, ending 15 higher at 465|||Sun Alliance fell 1 to close at 289
Comparison|||Coastal Corp. said it signed a definitive agreement with Aruba to restart a 150,000-barrel-a-day oil refinery|||Coastal wouldn't disclose the terms
Comparison|||but wouldn't say how much that would be|||The prime minister of Aruba has said it could cost around $100 million
Comparison|||What is undemocratic is the unwillingness of the more political parts of the government to take the responsibility for deciding the basic question of monetary policy, which is what priority should be given to stabilizing the price level|||To leave this decision to an "independent" agency is not only undemocratic
Comparison|||that a capital-gains cut should be part of the deficit-reduction bill|||If that doesn't happen, then we press forward on another vehicle and a separate vote
